,0,0-1,0-2,0-3,0-4,0-5,0-6,0-7,1-2,1-3,1-4,1-5,1-6,1-7,2-3,2-4,2-5,2-6,2-7,3-4,3-5,3-6,3-7,4-5,4-6,4-7,5-6,5-7,6-7,breadth,date,kfactor,length,project_name,weight,width
672,690.0,0.10631763578882346,0.24332771966918032,0.4613060760743271,0.40522940798953283,0.21477739862283265,0.16406569330532664,0.49410212212411175,0.2393875189534111,0.42499056415651676,0.35881134546620896,0.14715205266623094,0.21131577189990458,0.4564061044824099,0.22820697556531358,0.19016736507352655,0.15074448782108937,0.4064849181700665,0.26245407718446984,0.07912363592282688,0.28640925345189305,0.6203080999150049,0.04520628918188815,0.21517642640212295,0.5591362534449472,0.11517721327593468,0.35254787455194225,0.31983344157585725,0.6533209366744569,75.0,2019-05-02,1.2428000716865986,647.0,2019-05-02: GTSF Phase I Keypoint Annotations,3366.0,135.0
673,691.0,0.09641122628508714,0.22260216679947206,0.42098240093801315,0.3687498439989355,0.2063738926420384,0.15630918247574715,0.4607522454617732,0.2245187868266296,0.3867116330455206,0.32472991183362376,0.1403152422424655,0.1865631474757946,0.4240164735856562,0.21763127673708696,0.18519611546590048,0.16213669393714533,0.37754517981695207,0.2608134410241683,0.07317315257381111,0.26606287984606425,0.5650104074832482,0.047497419576706265,0.19747757141336178,0.5074843769935997,0.1097708323896169,0.32567617947132016,0.3044811454027641,0.6023034911718385,98.0,2019-05-02,1.7183986210186433,596.0,2019-05-02: GTSF Phase I Keypoint Annotations,3638.0,157.0
674,692.0,0.1016024547322042,0.2326778984683594,0.44764168984760766,0.3851921792639827,0.20672236159656437,0.18227150013042245,0.4900152555191243,0.22831720018015927,0.41230523609640995,0.34057167993519394,0.13541163931624564,0.22501977832353487,0.4531996521244802,0.2343510412778083,0.19794674271403917,0.15935612697022822,0.4096761508188272,0.2711931482628726,0.08468299533798093,0.2855015459360939,0.6246176474251388,0.05041677135671565,0.21063785357138679,0.5583520222190436,0.12883646148873773,0.3596937858704394,0.3251784021401708,0.6656778691661724,80.0,2019-05-02,1.2400315243569748,644.0,2019-05-02: GTSF Phase I Keypoint Annotations,3312.0,146.0
675,693.0,0.07711689259821859,0.19095913298994355,0.34486401793001,0.29827234589198914,0.16211770136354717,0.13858992011704338,0.38867394670998623,0.18436121449283333,0.31164956913255193,0.2577708635860379,0.11054519340510527,0.16473017995425257,0.35386510836694673,0.17191249073020945,0.14250002931380376,0.12066038708336045,0.3163001443723326,0.21376142532854212,0.06061125176554734,0.20448582163283688,0.45150370379214727,0.04444708350717781,0.1496567385433752,0.4035550495995458,0.09764972063789137,0.2579181097870338,0.2460414945473152,0.4952132803874134,60.0,2019-05-02,1.3049484189812715,497.0,2019-05-02: GTSF Phase I Keypoint Annotations,1602.0,115.0
676,694.0,0.07838203812965318,0.18834821058233678,0.33745068238746917,0.29362558800494565,0.16383688806745664,0.1402909438531687,0.381309885869687,0.1785018345425507,0.30570824244660727,0.253028074714977,0.1122036658694466,0.1706196656660438,0.3476936084221753,0.1776728623393489,0.15049091148658617,0.13207117498696777,0.32553133421227276,0.2174581302121545,0.061509134839046714,0.20098369344595268,0.45628611401444713,0.04447492541483794,0.14624664740420462,0.40851356253209836,0.09731179347797461,0.2653876155208963,0.2420868386426177,0.49997734396632626,66.0,2019-05-02,1.3629750246888452,510.0,2019-05-02: GTSF Phase I Keypoint Annotations,1808.0,117.0
677,695.0,0.0856634550836572,0.18826476813260654,0.3600586436920151,0.30402275594924016,0.17350036982250513,0.13937033801306,0.3891190940546959,0.18841061728918415,0.32753597115344996,0.2640515033393647,0.11596824783601246,0.18369013879128696,0.35734914512038346,0.18598866196468972,0.14802670887131072,0.12679984326600532,0.3208893161865226,0.21336535123364922,0.06769570758866857,0.2157922524909321,0.48977252782236724,0.038495295315338726,0.15038756423906913,0.43095684162300574,0.09711663008959179,0.29347401944351614,0.24611926080484076,0.5160077183421513,61.0,2019-05-02,1.2242651770435202,510.0,2019-05-02: GTSF Phase I Keypoint Annotations,1624.0,122.0
678,696.0,0.07778188882133165,0.17900007943106666,0.3456077544188451,0.3035914336777839,0.16539421543428007,0.13702065068579983,0.3756057584230927,0.18135687698770958,0.32005043391495963,0.26949492752929466,0.1250615043878426,0.16474352990122265,0.34856223424302346,0.18247330438882076,0.15494123731566525,0.11207290892572454,0.3133721799157586,0.21707875539418076,0.06146446624431916,0.22094764373819067,0.4768353404815958,0.04085099063068155,0.16684693506159515,0.4297041818012053,0.09227340002814118,0.2756433063848514,0.25538818347798103,0.506665557127348,63.0,2019-05-02,1.1942141180101737,505.0,2019-05-02: GTSF Phase I Keypoint Annotations,1538.0,107.0
679,697.0,0.07973624064420735,0.1934395271928425,0.33920682771987354,0.29754517632358757,0.17333436507594147,0.1334233044848387,0.3848518547242705,0.1851984332730663,0.30710313840157094,0.25658343302153386,0.11684584052753516,0.16658936874190092,0.3518010901777629,0.1646168991338066,0.13586446905878674,0.11973795817851049,0.32601135214698357,0.20806677950800928,0.06495332193661617,0.20337508116104291,0.4636472553308595,0.04564871012870709,0.14558552716677142,0.41895865970843654,0.10243235304668617,0.28312166454769316,0.24603831183136474,0.5089827308118202,63.0,2019-05-02,1.2399476742081483,513.0,2019-05-02: GTSF Phase I Keypoint Annotations,1674.0,110.0
680,698.0,0.09702511002962473,0.22889018237849432,0.44037440137971,0.3808028249568191,0.19735984752635038,0.16681344205031978,0.4701512123636441,0.22501988960484426,0.3988973889076904,0.33389063925146684,0.1297794040518936,0.18934383369194582,0.4262588833121475,0.2312459753858892,0.19167911462928405,0.15242888279001096,0.39021989976570665,0.2616376259159452,0.0772959987532791,0.2728102470038679,0.5838607829103858,0.042968515689671846,0.20685255735107255,0.5168433025063636,0.11357263166105806,0.31705439247997746,0.29975738420401155,0.6133861035070783,80.0,2019-05-02,1.334511865622973,613.0,2019-05-02: GTSF Phase I Keypoint Annotations,3074.0,138.0
681,699.0,0.09775157913600255,0.21095832121857672,0.4101397282681098,0.36431269333207306,0.2083076297238071,0.15349026641270314,0.44546630232279466,0.2211166101528876,0.3838996475861526,0.32614431599963917,0.14190140820899871,0.18655681307403507,0.4185798626890332,0.21432792300201708,0.18965474609850314,0.1731994003220965,0.3642273128623748,0.2506810957151453,0.07096928266457357,0.2693004614441308,0.5573584864064015,0.04496425958753872,0.20494846891872512,0.5057971958435634,0.10396959752131839,0.324937870586225,0.30650042399585536,0.5920241299343107,85.0,2019-05-02,1.6097222222222223,600.0,2019-05-02: GTSF Phase I Keypoint Annotations,3477.0,147.0
